source_lang,target_lang,source_text,target_text
ja,pa,助けが必要です,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
hi,pa,स्वागत है,ਸਵਾਗਤ ਹੈ
en,hi,Good morning,सुप्रभात
te,en,నమస్తే,Hello
hi,en,मुझे मदद चाहिए,I need help
ja,te,ありがとうございます,ధన్యవాదాలు
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
en,te,I need help,నాకు సహాయం కావాలి
hi,ja,शुभ रात्रि,おやすみなさい
ja,hi,私は学生です,मैं एक छात्र हूँ
te,pa,స్వాగతం,ਸਵਾਗਤ ਹੈ
en,te,How are you,మీరు ఎలా ఉన్నారు
ja,en,私はプログラミングが好きです,I love programming
en,pa,This is my book,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
te,pa,నేను విద్యార్థిని,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
hi,ja,मुझे मदद चाहिए,助けが必要です
hi,ja,मुझे मदद चाहिए,助けが必要です
en,te,Thank you,ధన్యవాదాలు
te,ja,శుభోదయం,おはようございます
hi,pa,आप कैसे हैं,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
ja,hi,私はプログラミングが好きです,मुझे प्रोग्रामिंग पसंद है
te,pa,మీరు ఎలా ఉన్నారు,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
en,hi,I love programming,मुझे प्रोग्रामिंग पसंद है
en,te,I love programming,నాకు ప్రోగ్రామింగ్ ఇష్టం
en,ja,Good morning,おはようございます
te,ja,ఇది నా పుస్తకం,これは私の本です
pa,ja,ਸਵਾਗਤ ਹੈ,ようこそ
pa,te,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,నమస్తే
pa,en,ਸਵਾਗਤ ਹੈ,Welcome
pa,en,ਸਵਾਗਤ ਹੈ,Welcome
en,ja,I need help,助けが必要です
pa,ja,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,お元気ですか
en,pa,Thank you,ਧੰਨਵਾਦ
hi,pa,यह मेरी किताब है,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
ja,pa,おやすみなさい,ਸ਼ੁਭ ਰਾਤ
pa,te,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,నాకు సహాయం కావాలి
te,pa,నేను విద్యార్థిని,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
pa,te,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,మీరు ఎలా ఉన్నారు
pa,hi,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,आप कैसे हैं
en,ja,Hello,こんにちは
ja,te,おはようございます,శుభోదయం
ja,en,これは私の本です,This is my book
pa,ja,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,これは私の本です
ja,pa,これは私の本です,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
en,ja,I love programming,私はプログラミングが好きです
pa,ja,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,助けが必要です
pa,ja,ਧੰਨਵਾਦ,ありがとうございます
pa,en,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,This is my book
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
te,pa,శుభ రాత్రి,ਸ਼ੁਭ ਰਾਤ
te,pa,మీరు ఎలా ఉన్నారు,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
hi,pa,सुप्रभात,ਸ਼ੁਭ ਸਵੇਰ
te,en,స్వాగతం,Welcome
en,hi,I love programming,मुझे प्रोग्रामिंग पसंद है
te,en,స్వాగతం,Welcome
en,te,I am a student,నేను విద్యార్థిని
ja,en,おやすみなさい,Good night
pa,ja,ਧੰਨਵਾਦ,ありがとうございます
en,te,Good morning,శుభోదయం
te,pa,నేను విద్యార్థిని,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
hi,en,शुभ रात्रि,Good night
pa,hi,ਸ਼ੁਭ ਸਵੇਰ,सुप्रभात
te,en,మీరు ఎలా ఉన్నారు,How are you
ja,te,ありがとうございます,ధన్యవాదాలు
hi,en,धन्यवाद,Thank you
te,en,నమస్తే,Hello
te,ja,నాకు సహాయం కావాలి,助けが必要です
pa,ja,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,お元気ですか
te,en,నాకు ప్రోగ్రామింగ్ ఇష్టం,I love programming
ja,te,こんにちは,నమస్తే
ja,pa,私は学生です,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
en,te,Thank you,ధన్యవాదాలు
pa,en,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,I love programming
ja,te,こんにちは,నమస్తే
te,hi,నమస్తే,नमस्ते
te,pa,శుభ రాత్రి,ਸ਼ੁਭ ਰਾਤ
pa,te,ਸਵਾਗਤ ਹੈ,స్వాగతం
hi,te,सुप्रभात,శుభోదయం
en,ja,How are you,お元気ですか
te,hi,నమస్తే,नमस्ते
te,hi,నమస్తే,नमस्ते
pa,en,ਸ਼ੁਭ ਰਾਤ,Good night
pa,te,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,నమస్తే
pa,ja,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,お元気ですか
en,ja,Hello,こんにちは
te,pa,నమస్తే,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
pa,en,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,I need help
pa,en,ਸਵਾਗਤ ਹੈ,Welcome
te,ja,నాకు సహాయం కావాలి,助けが必要です
pa,ja,ਸ਼ੁਭ ਰਾਤ,おやすみなさい
hi,te,शुभ रात्रि,శుభ రాత్రి
te,hi,ధన్యవాదాలు,धन्यवाद
te,pa,ఇది నా పుస్తకం,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
en,ja,I am a student,私は学生です
pa,te,ਸ਼ੁਭ ਰਾਤ,శుభ రాత్రి
pa,ja,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,お元気ですか
ja,en,おやすみなさい,Good night
pa,te,ਸ਼ੁਭ ਰਾਤ,శుభ రాత్రి
te,en,ధన్యవాదాలు,Thank you
hi,ja,मैं एक छात्र हूँ,私は学生です
te,ja,ఇది నా పుస్తకం,これは私の本です
ja,pa,おはようございます,ਸ਼ੁਭ ਸਵੇਰ
ja,pa,私は学生です,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
pa,te,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,మీరు ఎలా ఉన్నారు
pa,ja,ਸਵਾਗਤ ਹੈ,ようこそ
pa,en,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Hello
te,pa,నేను విద్యార్థిని,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
ja,te,こんにちは,నమస్తే
en,hi,Good night,शुभ रात्रि
hi,ja,शुभ रात्रि,おやすみなさい
pa,ja,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,これは私の本です
ja,en,私は学生です,I am a student
pa,en,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,How are you
te,hi,ఇది నా పుస్తకం,यह मेरी किताब है
en,hi,I am a student,मैं एक छात्र हूँ
ja,pa,私は学生です,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
hi,en,स्वागत है,Welcome
te,pa,మీరు ఎలా ఉన్నారు,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
pa,en,ਸਵਾਗਤ ਹੈ,Welcome
pa,en,ਧੰਨਵਾਦ,Thank you
ja,en,これは私の本です,This is my book
hi,pa,नमस्ते,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
en,pa,Hello,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
en,pa,Thank you,ਧੰਨਵਾਦ
hi,ja,मुझे प्रोग्रामिंग पसंद है,私はプログラミングが好きです
ja,hi,これは私の本です,यह मेरी किताब है
en,te,I need help,నాకు సహాయం కావాలి
hi,te,आप कैसे हैं,మీరు ఎలా ఉన్నారు
pa,hi,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,मुझे मदद चाहिए
pa,hi,ਸਵਾਗਤ ਹੈ,स्वागत है
te,hi,నేను విద్యార్థిని,मैं एक छात्र हूँ
ja,pa,ありがとうございます,ਧੰਨਵਾਦ
hi,en,आप कैसे हैं,How are you
te,hi,శుభోదయం,सुप्रभात
en,hi,Hello,नमस्ते
te,pa,ధన్యవాదాలు,ਧੰਨਵਾਦ
en,te,Good morning,శుభోదయం
hi,pa,मुझे प्रोग्रामिंग पसंद है,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
hi,pa,नमस्ते,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
hi,te,धन्यवाद,ధన్యవాదాలు
hi,pa,धन्यवाद,ਧੰਨਵਾਦ
ja,te,これは私の本です,ఇది నా పుస్తకం
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
te,en,నమస్తే,Hello
te,en,నమస్తే,Hello
en,pa,I am a student,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
en,pa,Hello,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
en,te,How are you,మీరు ఎలా ఉన్నారు
te,pa,మీరు ఎలా ఉన్నారు,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
pa,ja,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,助けが必要です
pa,en,ਸ਼ੁਭ ਸਵੇਰ,Good morning
hi,en,स्वागत है,Welcome
hi,ja,धन्यवाद,ありがとうございます
ja,te,助けが必要です,నాకు సహాయం కావాలి
te,en,శుభ రాత్రి,Good night
hi,pa,धन्यवाद,ਧੰਨਵਾਦ
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
hi,ja,मुझे प्रोग्रामिंग पसंद है,私はプログラミングが好きです
pa,ja,ਸ਼ੁਭ ਸਵੇਰ,おはようございます
te,ja,శుభ రాత్రి,おやすみなさい
te,en,శుభోదయం,Good morning
te,pa,శుభ రాత్రి,ਸ਼ੁਭ ਰਾਤ
hi,pa,नमस्ते,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
hi,ja,आप कैसे हैं,お元気ですか
te,hi,స్వాగతం,स्वागत है
ja,pa,こんにちは,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
en,ja,Thank you,ありがとうございます
hi,ja,आप कैसे हैं,お元気ですか
en,hi,Good morning,सुप्रभात
hi,te,सुप्रभात,శుభోదయం
pa,en,ਸ਼ੁਭ ਰਾਤ,Good night
hi,ja,मुझे प्रोग्रामिंग पसंद है,私はプログラミングが好きです
en,ja,Good morning,おはようございます
ja,pa,ありがとうございます,ਧੰਨਵਾਦ
ja,hi,これは私の本です,यह मेरी किताब है
hi,en,मुझे मदद चाहिए,I need help
te,pa,మీరు ఎలా ఉన్నారు,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
en,hi,Welcome,स्वागत है
ja,en,ようこそ,Welcome
te,ja,నమస్తే,こんにちは
hi,ja,मैं एक छात्र हूँ,私は学生です
ja,te,私は学生です,నేను విద్యార్థిని
te,en,నాకు ప్రోగ్రామింగ్ ఇష్టం,I love programming
te,en,నమస్తే,Hello
ja,hi,おはようございます,सुप्रभात
pa,hi,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,मुझे मदद चाहिए
pa,ja,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,私はプログラミングが好きです
te,en,నేను విద్యార్థిని,I am a student
en,pa,I need help,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
en,pa,Thank you,ਧੰਨਵਾਦ
te,hi,మీరు ఎలా ఉన్నారు,आप कैसे हैं
ja,en,助けが必要です,I need help
hi,en,धन्यवाद,Thank you
te,hi,ధన్యవాదాలు,धन्यवाद
pa,hi,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,मुझे मदद चाहिए
ja,pa,ありがとうございます,ਧੰਨਵਾਦ
hi,te,यह मेरी किताब है,ఇది నా పుస్తకం
ja,hi,これは私の本です,यह मेरी किताब है
pa,hi,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,आप कैसे हैं
pa,hi,ਸਵਾਗਤ ਹੈ,स्वागत है
ja,hi,こんにちは,नमस्ते
hi,en,आप कैसे हैं,How are you
en,pa,Hello,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
ja,en,助けが必要です,I need help
hi,en,सुप्रभात,Good morning
te,en,స్వాగతం,Welcome
pa,hi,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ,आप कैसे हैं
hi,ja,मुझे प्रोग्रामिंग पसंद है,私はプログラミングが好きです
te,ja,స్వాగతం,ようこそ
pa,hi,ਸ਼ੁਭ ਰਾਤ,शुभ रात्रि
te,en,ఇది నా పుస్తకం,This is my book
ja,pa,こんにちは,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
ja,hi,助けが必要です,मुझे मदद चाहिए
te,en,శుభ రాత్రి,Good night
te,en,శుభ రాత్రి,Good night
ja,en,これは私の本です,This is my book
pa,en,ਧੰਨਵਾਦ,Thank you
hi,ja,यह मेरी किताब है,これは私の本です
hi,en,स्वागत है,Welcome
en,te,Welcome,స్వాగతం
ja,hi,おやすみなさい,शुभ रात्रि
hi,en,स्वागत है,Welcome
en,hi,Good morning,सुप्रभात
pa,te,ਸਵਾਗਤ ਹੈ,స్వాగతం
te,pa,మీరు ఎలా ఉన్నారు,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
hi,pa,मैं एक छात्र हूँ,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
ja,pa,こんにちは,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
te,hi,నాకు ప్రోగ్రామింగ్ ఇష్టం,मुझे प्रोग्रामिंग पसंद है
te,en,ధన్యవాదాలు,Thank you
hi,te,सुप्रभात,శుభోదయం
te,ja,నాకు ప్రోగ్రామింగ్ ఇష్టం,私はプログラミングが好きです
ja,pa,私は学生です,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
en,hi,I love programming,मुझे प्रोग्रामिंग पसंद है
en,ja,Good morning,おはようございます
te,en,మీరు ఎలా ఉన్నారు,How are you
pa,hi,ਧੰਨਵਾਦ,धन्यवाद
ja,hi,お元気ですか,आप कैसे हैं
hi,te,सुप्रभात,శుభోదయం
pa,ja,ਧੰਨਵਾਦ,ありがとうございます
pa,ja,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,こんにちは
hi,pa,धन्यवाद,ਧੰਨਵਾਦ
te,ja,స్వాగతం,ようこそ
ja,en,おはようございます,Good morning
te,pa,మీరు ఎలా ఉన్నారు,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
ja,hi,私は学生です,मैं एक छात्र हूँ
pa,te,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,ఇది నా పుస్తకం
te,pa,నేను విద్యార్థిని,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
te,hi,నాకు ప్రోగ్రామింగ్ ఇష్టం,मुझे प्रोग्रामिंग पसंद है
ja,hi,ありがとうございます,धन्यवाद
pa,en,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,This is my book
hi,pa,शुभ रात्रि,ਸ਼ੁਭ ਰਾਤ
te,en,నాకు సహాయం కావాలి,I need help
pa,te,ਧੰਨਵਾਦ,ధన్యవాదాలు
pa,hi,ਧੰਨਵਾਦ,धन्यवाद
pa,en,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,This is my book
en,hi,Thank you,धन्यवाद
hi,en,मुझे मदद चाहिए,I need help
te,en,నాకు సహాయం కావాలి,I need help
pa,te,ਸ਼ੁਭ ਸਵੇਰ,శుభోదయం
hi,pa,मैं एक छात्र हूँ,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
hi,en,मैं एक छात्र हूँ,I am a student
en,ja,I love programming,私はプログラミングが好きです
te,pa,ఇది నా పుస్తకం,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
hi,ja,नमस्ते,こんにちは
ja,en,助けが必要です,I need help
hi,te,सुप्रभात,శుభోదయం
pa,ja,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,こんにちは
hi,pa,धन्यवाद,ਧੰਨਵਾਦ
ja,en,おやすみなさい,Good night
te,en,మీరు ఎలా ఉన్నారు,How are you
pa,ja,ਸ਼ੁਭ ਰਾਤ,おやすみなさい
hi,te,शुभ रात्रि,శుభ రాత్రి
pa,hi,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ,यह मेरी किताब है
ja,te,おやすみなさい,శుభ రాత్రి
hi,ja,धन्यवाद,ありがとうございます
ja,en,私はプログラミングが好きです,I love programming
hi,ja,मैं एक छात्र हूँ,私は学生です
en,pa,Thank you,ਧੰਨਵਾਦ
hi,te,नमस्ते,నమస్తే
ja,en,お元気ですか,How are you
hi,en,मुझे प्रोग्रामिंग पसंद है,I love programming
hi,te,यह मेरी किताब है,ఇది నా పుస్తకం
ja,hi,ありがとうございます,धन्यवाद
ja,hi,おはようございます,सुप्रभात
hi,pa,स्वागत है,ਸਵਾਗਤ ਹੈ
te,en,నాకు ప్రోగ్రామింగ్ ఇష్టం,I love programming
hi,pa,शुभ रात्रि,ਸ਼ੁਭ ਰਾਤ
te,pa,శుభోదయం,ਸ਼ੁਭ ਸਵੇਰ
pa,te,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,నేను విద్యార్థిని
en,pa,I am a student,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
te,pa,నమస్తే,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
hi,te,नमस्ते,నమస్తే
en,hi,Hello,नमस्ते
te,en,నాకు ప్రోగ్రామింగ్ ఇష్టం,I love programming
ja,pa,おはようございます,ਸ਼ੁਭ ਸਵੇਰ
hi,ja,सुप्रभात,おはようございます
te,hi,మీరు ఎలా ఉన్నారు,आप कैसे हैं
pa,en,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,I need help
te,hi,శుభ రాత్రి,शुभ रात्रि
te,hi,శుభ రాత్రి,शुभ रात्रि
hi,en,स्वागत है,Welcome
hi,pa,मुझे मदद चाहिए,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
te,ja,నాకు సహాయం కావాలి,助けが必要です
ja,en,おはようございます,Good morning
pa,hi,ਧੰਨਵਾਦ,धन्यवाद
hi,ja,मुझे प्रोग्रामिंग पसंद है,私はプログラミングが好きです
hi,ja,मैं एक छात्र हूँ,私は学生です
en,pa,Thank you,ਧੰਨਵਾਦ
en,hi,This is my book,यह मेरी किताब है
te,ja,శుభ రాత్రి,おやすみなさい
pa,te,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,నేను విద్యార్థిని
pa,te,ਸ਼ੁਭ ਸਵੇਰ,శుభోదయం
pa,te,ਧੰਨਵਾਦ,ధన్యవాదాలు
hi,ja,नमस्ते,こんにちは
te,en,మీరు ఎలా ఉన్నారు,How are you
ja,pa,私はプログラミングが好きです,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
en,ja,Hello,こんにちは
ja,hi,これは私の本です,यह मेरी किताब है
ja,hi,私はプログラミングが好きです,मुझे प्रोग्रामिंग पसंद है
hi,en,स्वागत है,Welcome
pa,hi,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,मैं एक छात्र हूँ
en,pa,Welcome,ਸਵਾਗਤ ਹੈ
hi,pa,नमस्ते,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
ja,en,お元気ですか,How are you
hi,pa,धन्यवाद,ਧੰਨਵਾਦ
ja,hi,こんにちは,नमस्ते
te,hi,మీరు ఎలా ఉన్నారు,आप कैसे हैं
hi,en,मुझे मदद चाहिए,I need help
hi,pa,मुझे मदद चाहिए,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
ja,te,おはようございます,శుభోదయం
te,en,ఇది నా పుస్తకం,This is my book
ja,pa,ようこそ,ਸਵਾਗਤ ਹੈ
hi,te,स्वागत है,స్వాగతం
pa,en,ਸ਼ੁਭ ਰਾਤ,Good night
pa,en,ਸ਼ੁਭ ਰਾਤ,Good night
ja,hi,助けが必要です,मुझे मदद चाहिए
hi,en,धन्यवाद,Thank you
pa,ja,ਧੰਨਵਾਦ,ありがとうございます
ja,te,おやすみなさい,శుభ రాత్రి
pa,hi,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ,मैं एक छात्र हूँ
te,en,నమస్తే,Hello
en,ja,Thank you,ありがとうございます
en,te,I am a student,నేను విద్యార్థిని
te,ja,ఇది నా పుస్తకం,これは私の本です
hi,en,मुझे मदद चाहिए,I need help
ja,pa,これは私の本です,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
pa,hi,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,नमस्ते
hi,te,शुभ रात्रि,శుభ రాత్రి
pa,ja,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,こんにちは
en,hi,Good night,शुभ रात्रि
hi,te,यह मेरी किताब है,ఇది నా పుస్తకం
pa,hi,ਸ਼ੁਭ ਰਾਤ,शुभ रात्रि
en,te,I am a student,నేను విద్యార్థిని
en,hi,I am a student,मैं एक छात्र हूँ
hi,te,सुप्रभात,శుభోదయం
hi,ja,सुप्रभात,おはようございます
ja,te,これは私の本です,ఇది నా పుస్తకం
ja,pa,これは私の本です,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
te,ja,ఇది నా పుస్తకం,これは私の本です
pa,hi,ਸਵਾਗਤ ਹੈ,स्वागत है
hi,pa,नमस्ते,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
ja,te,ありがとうございます,ధన్యవాదాలు
pa,en,ਧੰਨਵਾਦ,Thank you
en,hi,Thank you,धन्यवाद
ja,hi,私はプログラミングが好きです,मुझे प्रोग्रामिंग पसंद है
en,hi,How are you,आप कैसे हैं
te,hi,నమస్తే,नमस्ते
te,en,స్వాగతం,Welcome
pa,en,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Hello
te,en,నమస్తే,Hello
en,hi,I love programming,मुझे प्रोग्रामिंग पसंद है
en,te,Good night,శుభ రాత్రి
pa,te,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,నమస్తే
en,pa,I need help,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
hi,ja,मैं एक छात्र हूँ,私は学生です
pa,te,ਸ਼ੁਭ ਰਾਤ,శుభ రాత్రి
pa,ja,ਸਵਾਗਤ ਹੈ,ようこそ
ja,te,これは私の本です,ఇది నా పుస్తకం
en,pa,Good morning,ਸ਼ੁਭ ਸਵੇਰ
hi,pa,मुझे मदद चाहिए,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
hi,te,यह मेरी किताब है,ఇది నా పుస్తకం
te,hi,నాకు సహాయం కావాలి,मुझे मदद चाहिए
te,en,నాకు ప్రోగ్రామింగ్ ఇష్టం,I love programming
en,pa,Thank you,ਧੰਨਵਾਦ
ja,hi,おはようございます,सुप्रभात
ja,hi,ようこそ,स्वागत है
te,en,నాకు ప్రోగ్రామింగ్ ఇష్టం,I love programming
ja,hi,おはようございます,सुप्रभात
hi,pa,मुझे मदद चाहिए,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
hi,te,शुभ रात्रि,శుభ రాత్రి
hi,pa,धन्यवाद,ਧੰਨਵਾਦ
ja,pa,これは私の本です,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
te,en,నాకు సహాయం కావాలి,I need help
en,pa,Welcome,ਸਵਾਗਤ ਹੈ
en,ja,I love programming,私はプログラミングが好きです
pa,te,ਸ਼ੁਭ ਰਾਤ,శుభ రాత్రి
pa,hi,ਸ਼ੁਭ ਰਾਤ,शुभ रात्रि
en,hi,I love programming,मुझे प्रोग्रामिंग पसंद है
te,en,స్వాగతం,Welcome
en,te,Thank you,ధన్యవాదాలు
en,hi,Good night,शुभ रात्रि
hi,ja,स्वागत है,ようこそ
te,hi,నేను విద్యార్థిని,मैं एक छात्र हूँ
pa,ja,ਸ਼ੁਭ ਰਾਤ,おやすみなさい
pa,hi,ਸ਼ੁਭ ਰਾਤ,शुभ रात्रि
ja,pa,助けが必要です,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
en,te,Thank you,ధన్యవాదాలు
te,ja,మీరు ఎలా ఉన్నారు,お元気ですか
ja,hi,ありがとうございます,धन्यवाद
te,en,నాకు సహాయం కావాలి,I need help
hi,ja,धन्यवाद,ありがとうございます
en,hi,Good morning,सुप्रभात
te,hi,నేను విద్యార్థిని,मैं एक छात्र हूँ
pa,te,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,నాకు సహాయం కావాలి
pa,hi,ਸ਼ੁਭ ਸਵੇਰ,सुप्रभात
en,pa,This is my book,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
ja,te,私は学生です,నేను విద్యార్థిని
hi,pa,स्वागत है,ਸਵਾਗਤ ਹੈ
ja,pa,私は学生です,ਮੈਂ ਇੱਕ ਵਿਦਿਆਰਥੀ ਹਾਂ
te,en,నమస్తే,Hello
pa,te,ਧੰਨਵਾਦ,ధన్యవాదాలు
hi,te,नमस्ते,నమస్తే
hi,pa,स्वागत है,ਸਵਾਗਤ ਹੈ
ja,en,ようこそ,Welcome
en,hi,Hello,नमस्ते
te,en,ఇది నా పుస్తకం,This is my book
pa,ja,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ,助けが必要です
ja,hi,おやすみなさい,शुभ रात्रि
te,hi,ఇది నా పుస్తకం,यह मेरी किताब है
te,pa,ఇది నా పుస్తకం,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
te,ja,మీరు ఎలా ఉన్నారు,お元気ですか
ja,hi,助けが必要です,मुझे मदद चाहिए
pa,hi,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,नमस्ते
en,pa,Good night,ਸ਼ੁਭ ਰਾਤ
te,ja,నాకు సహాయం కావాలి,助けが必要です
en,ja,Good morning,おはようございます
te,hi,నమస్తే,नमस्ते
hi,en,मैं एक छात्र हूँ,I am a student
pa,te,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,నమస్తే
en,ja,Good morning,おはようございます
ja,te,ようこそ,స్వాగతం
en,pa,I need help,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
te,hi,నాకు సహాయం కావాలి,मुझे मदद चाहिए
en,hi,I love programming,मुझे प्रोग्रामिंग पसंद है
te,pa,శుభ రాత్రి,ਸ਼ੁਭ ਰਾਤ
pa,te,ਧੰਨਵਾਦ,ధన్యవాదాలు
pa,hi,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ,मुझे प्रोग्रामिंग पसंद है
